,0,1
0,0.726,0.274
1,0.854,0.146
2,0.96,0.04
3,0.934,0.066
4,0.626,0.374
5,0.742,0.258
6,0.828,0.172
7,0.536,0.464
8,0.778,0.222
9,0.73,0.27
10,0.638,0.362
11,0.722,0.278
12,0.84,0.16
13,0.754,0.246
14,0.55,0.45
15,0.752,0.248
16,0.87,0.13
17,0.662,0.338
18,0.712,0.288
19,0.734,0.266
20,0.764,0.236
21,0.686,0.314
22,0.534,0.466
23,0.954,0.046
24,0.71,0.29
25,0.608,0.392
26,0.728,0.272
27,0.504,0.496
28,0.648,0.352
29,0.592,0.408
30,0.928,0.072
31,0.656,0.344
32,0.688,0.312
33,0.686,0.314
34,0.636,0.364
35,0.47,0.53
36,0.88,0.12
37,0.48,0.52
38,0.622,0.378
39,0.698,0.302
40,0.792,0.208
41,0.682,0.318
42,0.574,0.426
43,0.552,0.448
44,0.658,0.342
45,0.592,0.408
46,0.806,0.194
