,0,1
0,0.852,0.148
1,0.772,0.228
2,0.666,0.334
3,0.67,0.33
4,0.692,0.308
5,0.77,0.23
6,0.752,0.248
7,0.746,0.254
8,0.988,0.012
9,0.682,0.318
10,0.934,0.066
11,0.828,0.172
12,0.742,0.258
13,0.68,0.32
14,0.788,0.212
15,0.854,0.146
16,0.746,0.254
17,0.886,0.114
18,0.776,0.224
19,0.838,0.162
20,0.516,0.484
21,0.65,0.35
22,0.638,0.362
23,0.492,0.508
24,0.34,0.66
25,0.818,0.182
26,0.764,0.236
27,0.676,0.324
28,0.878,0.122
29,0.968,0.032
30,0.866,0.134
31,0.872,0.128
32,0.868,0.132
33,0.692,0.308
34,0.956,0.044
35,0.706,0.294
36,0.82,0.18
37,0.84,0.16
38,0.69,0.31
39,0.576,0.424
40,0.796,0.204
41,0.812,0.188
42,0.522,0.478
43,0.784,0.216
44,0.506,0.494
45,0.934,0.066
46,0.756,0.244
