,0,1
0,0.62,0.38
1,0.286,0.714
2,0.44,0.56
3,0.942,0.058
4,0.896,0.104
5,0.218,0.782
6,0.694,0.306
7,0.054,0.946
8,0.654,0.346
9,0.396,0.604
10,0.776,0.224
11,0.48,0.52
12,0.684,0.316
13,0.726,0.274
14,0.076,0.924
15,0.222,0.778
16,0.058,0.942
17,0.132,0.868
18,0.678,0.322
19,0.798,0.202
20,0.942,0.058
21,0.83,0.17
22,0.914,0.086
23,0.4,0.6
24,0.174,0.826
25,0.58,0.42
26,0.69,0.31
27,0.434,0.566
28,0.236,0.764
29,0.458,0.542
30,0.35,0.65
31,0.878,0.122
32,0.184,0.816
33,0.856,0.144
34,0.91,0.09
35,0.116,0.884
36,0.382,0.618
37,0.854,0.146
38,0.826,0.174
39,0.496,0.504
40,0.91,0.09
41,0.154,0.846
42,0.882,0.118
43,0.348,0.652
44,0.49,0.51
45,0.266,0.734
46,0.702,0.298
47,0.582,0.418
48,0.288,0.712
49,0.192,0.808
50,0.676,0.324
51,0.094,0.906
52,0.058,0.942
53,0.154,0.846
54,0.73,0.27
55,0.79,0.21
56,0.3,0.7
57,0.86,0.14
58,0.862,0.138
59,0.268,0.732
