,0,1
0,0.662,0.338
1,0.762,0.238
2,0.7,0.3
3,0.884,0.116
4,0.65,0.35
5,0.606,0.394
6,0.706,0.294
7,0.892,0.108
8,0.88,0.12
9,0.224,0.776
10,0.146,0.854
11,0.448,0.552
12,0.736,0.264
13,0.65,0.35
14,0.268,0.732
15,0.248,0.752
16,0.666,0.334
17,0.852,0.148
18,0.866,0.134
19,0.642,0.358
20,0.112,0.888
21,0.784,0.216
22,0.64,0.36
23,0.388,0.612
24,0.92,0.08
25,0.248,0.752
26,0.844,0.156
27,0.88,0.12
28,0.508,0.492
29,0.9,0.1
30,0.53,0.47
31,0.704,0.296
32,0.496,0.504
33,0.606,0.394
34,0.416,0.584
35,0.714,0.286
36,0.41,0.59
37,0.376,0.624
38,0.822,0.178
39,0.41,0.59
40,0.256,0.744
41,0.676,0.324
42,0.486,0.514
