,0,1
0,0.456,0.544
1,0.668,0.332
2,0.734,0.266
3,0.92,0.08
4,0.888,0.112
5,0.592,0.408
6,0.184,0.816
7,0.408,0.592
8,0.946,0.054
9,0.66,0.34
10,0.364,0.636
11,0.442,0.558
12,0.97,0.03
13,0.998,0.002
14,0.15,0.85
15,0.9,0.1
16,0.918,0.082
17,0.974,0.026
18,0.904,0.096
19,0.912,0.088
20,1.0,0.0
21,0.972,0.028
22,0.768,0.232
23,0.888,0.112
24,0.668,0.332
25,0.436,0.564
26,0.932,0.068
27,0.918,0.082
28,0.454,0.546
29,1.0,0.0
30,1.0,0.0
31,0.354,0.646
32,0.906,0.094
33,0.998,0.002
34,1.0,0.0
35,0.986,0.014
36,0.942,0.058
37,0.918,0.082
38,0.986,0.014
39,0.254,0.746
40,0.948,0.052
41,0.994,0.006
42,0.998,0.002
43,0.984,0.016
44,1.0,0.0
45,0.982,0.018
46,0.176,0.824
47,1.0,0.0
48,0.38,0.62
49,0.998,0.002
50,0.488,0.512
51,0.752,0.248
52,0.992,0.008
53,1.0,0.0
54,0.89,0.11
55,0.848,0.152
56,0.71,0.29
57,1.0,0.0
58,0.992,0.008
59,0.148,0.852
