,0,1
0,0.436,0.564
1,0.794,0.206
2,0.906,0.094
3,0.968,0.032
4,0.97,0.03
5,0.234,0.766
6,0.816,0.184
7,0.864,0.136
8,0.83,0.17
9,0.22,0.78
10,0.946,0.054
11,0.988,0.012
12,0.77,0.23
13,0.284,0.716
14,0.98,0.02
15,0.92,0.08
16,0.706,0.294
17,0.904,0.096
18,0.972,0.028
19,0.22,0.78
20,0.556,0.444
21,0.894,0.106
22,0.958,0.042
23,0.922,0.078
24,0.982,0.018
25,0.244,0.756
26,0.844,0.156
27,0.468,0.532
28,0.276,0.724
29,0.996,0.004
30,0.92,0.08
31,0.39,0.61
32,0.966,0.034
33,0.784,0.216
34,0.648,0.352
35,0.81,0.19
36,0.952,0.048
37,0.806,0.194
38,0.676,0.324
39,0.828,0.172
40,0.75,0.25
41,0.278,0.722
42,0.144,0.856
43,0.968,0.032
44,0.912,0.088
45,0.918,0.082
46,0.19,0.81
47,0.684,0.316
48,0.932,0.068
49,0.674,0.326
50,0.788,0.212
51,0.692,0.308
52,0.958,0.042
53,0.898,0.102
54,0.684,0.316
55,0.572,0.428
56,0.91,0.09
57,1.0,0.0
58,0.92,0.08
59,0.288,0.712
