,0,1
0,0.454,0.546
1,0.454,0.546
2,0.352,0.648
3,0.41,0.59
4,0.728,0.272
5,0.404,0.596
6,0.44,0.56
7,0.658,0.342
8,0.556,0.444
9,0.56,0.44
10,0.636,0.364
11,0.638,0.362
12,0.396,0.604
13,0.708,0.292
14,0.622,0.378
15,0.772,0.228
16,0.322,0.678
17,0.77,0.23
18,0.466,0.534
19,0.584,0.416
20,0.48,0.52
21,0.458,0.542
22,0.378,0.622
23,0.538,0.462
24,0.704,0.296
25,0.338,0.662
26,0.548,0.452
27,0.768,0.232
28,0.826,0.174
29,0.942,0.058
30,0.382,0.618
31,0.968,0.032
32,0.322,0.678
33,0.744,0.256
34,0.486,0.514
35,0.49,0.51
36,0.602,0.398
37,0.568,0.432
38,0.67,0.33
39,0.526,0.474
40,0.798,0.202
41,0.724,0.276
42,0.444,0.556
43,0.45,0.55
44,0.492,0.508
45,0.368,0.632
46,0.356,0.644
47,0.582,0.418
48,0.94,0.06
49,0.312,0.688
50,0.878,0.122
51,0.922,0.078
52,0.74,0.26
