,0,1
0,0.888,0.112
1,0.576,0.424
2,0.544,0.456
3,0.284,0.716
4,0.806,0.194
5,0.764,0.236
6,0.39,0.61
7,0.306,0.694
8,0.82,0.18
9,0.854,0.146
10,0.78,0.22
11,0.384,0.616
12,0.548,0.452
13,0.29,0.71
14,0.492,0.508
15,0.556,0.444
16,0.7,0.3
17,0.638,0.362
18,0.306,0.694
19,0.742,0.258
20,0.538,0.462
21,0.81,0.19
22,0.7,0.3
23,0.622,0.378
24,0.718,0.282
25,0.758,0.242
26,0.546,0.454
27,0.906,0.094
28,0.61,0.39
29,0.676,0.324
30,0.388,0.612
31,0.848,0.152
32,0.706,0.294
33,0.73,0.27
34,0.738,0.262
35,0.708,0.292
36,0.458,0.542
37,0.556,0.444
38,0.572,0.428
39,0.666,0.334
40,0.566,0.434
41,0.71,0.29
42,0.264,0.736
43,0.83,0.17
44,0.788,0.212
45,0.902,0.098
46,0.286,0.714
47,0.344,0.656
48,0.548,0.452
49,0.658,0.342
50,0.44,0.56
51,0.778,0.222
52,0.756,0.244
